Date,Confirmed,Deaths,Daily_New_Cases
2020-01-22,557,17,557.0
2020-01-23,657,18,100.0
2020-01-24,944,26,287.0
2020-01-25,1437,42,493.0
2020-01-26,2120,56,683.0
2020-01-27,2929,82,809.0
2020-01-28,5580,131,2651.0
2020-01-29,6169,133,589.0
2020-01-30,8237,172,2068.0
2020-01-31,9927,214,1690.0
2020-02-01,12038,260,2111.0
2020-02-02,16787,364,4749.0
2020-02-03,19887,428,3100.0
2020-02-04,23899,494,4012.0
2020-02-05,27644,566,3745.0
2020-02-06,30806,636,3162.0
2020-02-07,34400,721,3594.0
2020-02-08,37131,808,2731.0
2020-02-09,40162,908,3031.0
2020-02-10,42771,1015,2609.0
2020-02-11,44814,1115,2043.0
2020-02-12,45232,1120,418.0
2020-02-13,60384,1373,15152.0
2020-02-14,66912,1525,6528.0
2020-02-15,69055,1668,2143.0
2020-02-16,71238,1772,2183.0
2020-02-17,73273,1870,2035.0
2020-02-18,75155,2010,1882.0
2020-02-19,75655,2125,500.0
2020-02-20,76216,2250,561.0
2020-02-21,76846,2254,630.0
2020-02-22,78608,2462,1762.0
2020-02-23,78990,2473,382.0
2020-02-24,79558,2633,568.0
2020-02-25,80412,2713,854.0
2020-02-26,81384,2774,972.0
2020-02-27,82728,2817,1344.0
2020-02-28,84152,2876,1424.0
2020-02-29,86023,2946,1871.0
2020-03-01,88402,3000,2379.0
2020-03-02,90382,3090,1980.0
2020-03-03,92994,3164,2612.0
2020-03-04,95338,3260,2344.0
2020-03-05,98078,3355,2740.0
2020-03-06,102062,3469,3984.0
2020-03-07,106199,3573,4137.0
2020-03-08,109997,3815,3798.0
2020-03-09,114292,4009,4295.0
2020-03-10,119051,4284,4759.0
2020-03-11,126527,4636,7476.0
2020-03-12,133283,4957,6756.0
2020-03-13,146477,5460,13194.0
2020-03-14,157365,5886,10888.0
2020-03-15,168598,6557,11233.0
2020-03-16,183165,7268,14567.0
2020-03-17,198339,8119,15174.0
2020-03-18,215900,9075,17561.0
2020-03-19,242987,10217,27087.0
2020-03-20,272517,11791,29530.0
2020-03-21,304944,13599,32427.0
2020-03-22,339156,15427,34212.0
2020-03-23,381711,17523,42555.0
2020-03-24,423594,19949,41883.0
2020-03-25,475075,22920,51481.0
2020-03-26,535889,26173,60814.0
2020-03-27,599820,29812,63931.0
2020-03-28,669402,33861,69582.0
2020-03-29,725918,37680,56516.0
2020-03-30,790929,42050,65011.0
2020-03-31,869371,47218,78442.0
2020-04-01,955728,53862,86357.0
2020-04-02,1038176,60115,82448.0
2020-04-03,1122386,66617,84210.0
2020-04-04,1182507,72976,60121.0
2020-04-05,1254222,78897,71715.0
2020-04-06,1328948,85324,74726.0
2020-04-07,1397886,93841,68938.0
2020-04-08,1480062,101061,82176.0
2020-04-09,1567243,109216,87181.0
2020-04-10,1653665,116957,86422.0
2020-04-11,1729180,123939,75515.0
2020-04-12,1847761,130453,118581.0
2020-04-13,1919593,136966,71832.0
2020-04-14,2004226,144323,84633.0
2020-04-15,2082482,153088,78256.0
2020-04-16,2176950,160800,94468.0
2020-04-17,2264830,169688,87880.0
2020-04-18,2343082,176118,78252.0
2020-04-19,2419404,182219,76322.0
2020-04-20,2495886,188730,76482.0
2020-04-21,2571973,195926,76087.0
2020-04-22,2654011,203205,82038.0
2020-04-23,2736728,210475,82717.0
